SN,SMT ID,IMIS ID,"New LAC 
 [ After De-limitation ]","Block
 [ After Delimitation ]",GP,Type,Scheme Type,Name of Scheme,SO NAME,Contractor Name,FHTC Target as per TS / DPR,FHTC Achieved,Sub-Division,"Work Status 
[ as per JJM Brain as on 10-08-2026 ]","Operational Status as per JJM Brain 
[ as on 10-08-2026 ]",PWSS Operational Status as per FIELD,"Work will be resolve / done by
[ For Partially or Non Operative PWSS ]","Estimate Prepared or Not
[ For Partially or Non Operative PWSS ]","Whether AA Accorded
[ For Partially or Non Operative PWSS ]","Work Allotted or Not
[ For Partially or Non Operative PWSS ]",Estimate Amount [ in Rs. ],If Work Allotted - Name of the Contractor,Work Status for making the PWSS functional [ Not Started / Ongoing / Halted / Completed ],Remarks,Specific Reason from JJM Brain / Issue,Tariff Collection,Issue will Resolve by / Action Taken,"Physical progress (in %) as per IMIS
 [ 30-06-2026 ]",Estimate provided under SOPD,"Estimate Amount to SOPD
 [ in Rs ]"
27,16831,30190297,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,CHANGMAI CHUCK PWSS,ANUPAM,HAREN MAHANTA,275,144,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,Estimated Submitted to P&RD - Work Ongoing,100,,
29,16835,30076844,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DAKHIN BISHRAMPUR PWSS,ANUPAM,M/S Electro Mechnico Projects (P) Ltd,149,149,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,,,,,,PUMPs are not working,,Tariff Collection: NO,,100,,
30,11877,30215959,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DIGHALI PATHER PWSS,ANUPAM,SRI JAYANTA KHAUND,204,160,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,water in 10-12 FHTC are not flowing,,Tariff Collection: YES,,100,,
31,16839,30205714,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DIMBOJOA PWSS,ANUPAM,HAREN MAHANTA,69,50,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
32,16847,30191632,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DUMSHIHATIGARH PWSS,ANUPAM,M/S Haji Enterprises,319,101,DIGBOI,ONGOING,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,81,,
34,16851,30076843,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,HATIGARH NO 2 PWSS,ANUPAM,M/S Electro Mechnico Projects (P) Ltd,164,151,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,APDCL,,,,,,,Village transformer is damaged,,Tariff Collection: NO,,55,,
42,16897,30200400,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,LITONG GAON PWSS,ANUPAM,HAREN MAHANTA,146,150,DIGBOI,ONGOING,OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,43,,
43,16900,30200487,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,MADARKHAT GAON PWSS,ANUPAM,HAREN MAHANTA,231,101,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
46,16904,30201945,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,MILONPUR. PWSS,ANUPAM,HAREN MAHANTA,111,105,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,41,,
51,16910,30203602,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,NAMHOLLONG BLOCK GAON PWSS,ANUPAM,HAREN MAHANTA,208,179,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
53,11878,30215957,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,NATUN TALPATHER. PWSS,ANUPAM,SRI JAYANTA KHAUND,232,166,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,60990,Jugita Saikia Moran,Ongoing,Village Transformer fuse is out,,Tariff Collection: NO,,100,,
54,16918,30200892,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,NAVOJYOTI PWSS,ANUPAM,HAREN MAHANTA,136,128,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
67,16923,30183171,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,SIMALUGURI. PWSS,ANUPAM,Jai Shankar Prasad,244,220,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,Estimate Under Prepration in Division and will be sent to P&RD,100,,
68,16927,30183448,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,SONJAN GAON. PWSS,ANUPAM,Shiv Prakash Gupta,101,105,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,Estimated Submitted to P&RD - Work Not Started,100,,
71,16943,30183934,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TENGABARI. PWSS,ANUPAM,HAREN MAHANTA,55,50,DIGBOI,ONGOING,OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
72,16950,30184010,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TINIALI NA-GAON. PWSS,ANUPAM,HAREN MAHANTA,150,171,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,WUC / Jal Mitra,100,,
73,16958,30184019,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TIPOLI CHUCK. PWSS,ANUPAM,HAREN MAHANTA,159,44,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
74,16966,30185016,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TONGONA SUNJAN. PWSS,ANUPAM,Shiv Prakash Gupta,163,121,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
76,16970,30185335,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,UTTAR BISHAMPUR PWSS,ANUPAM,HAREN MAHANTA,148,174,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
77,16975,30185413,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,WATHOI. PWSS,ANUPAM,Manash Protim Borah,82,75,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
263,17479,30216366,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,20 NO. LINE PWSS,PUJA,Kalyan Chetia,117,117,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,NO,,,,,,Pipeline damage (other third parties),Tariff Collection: NO,Estimates Already send under SOPD to HQ,100,YES,858162
264,17888,30181474,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,OUGURI TINGRAI PWSS ( 6 NO WARD OUGURI GAON ),PUJA,Nortech Power Projects Pvt. Ltd.,236,144,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: NO,,80,,
265,17891,30181483,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,MAJ MAMORONI PWSS ( 7 NO WARD OUGURI GAON ),PUJA,Nortech Power Projects Pvt. Ltd.,155,81,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,84143,MIRAJ MORAN,Ongoing,,,Tariff Collection: NO,,24,,
266,17899,30076146,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,ANANDA BAG TE NO. 1 LABOUR LINE PWSS,PUJA,PANKAJ KALITA,202,204,DIGBOI,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,Voltage or Load Issues,Tariff Collection: NO,,100,,
267,17902,30076152,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,ANANDA BAG TE PWSS,PUJA,PANKAJ KALITA,185,183,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: YES,,100,,
269,17903,30181785,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,ASSAMIYA PATHER GAON. PWSS,PUJA,Nortech Power Projects Pvt. Ltd.,146,81,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: YES,,100,,
271,12160,30020302,DIGBOI,DIGBOI,BORBIL,NEW,NON TEA GARDEN,BALIJAN NC PWSS,PUJA,Shiva Gogoi,216,216,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,37,,
272,17468,30183290,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,BAPAPUNG NO.2 PWSS,PUJA,HANUMAN DISTRIBUTORS,304,302,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,40,,
274,11407,30015343,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,PACHIM MAMORONI PWSS ( BHATI MAMORANI ),PUJA,Udeepta Phukan,232,228,DIGBOI,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,1188731,UDIPTA PHUKAN,Ongoing,,Pipeline Damage due to PWD road construction or Augmentation,Tariff Collection: NO,,100,,
275,17472,30183485,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,BHIMPATHAR PWSS,PUJA,Kalyan Chetia,100,91,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,100,,
276,11410,30216478,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,BHUYAN BASTI. PWSS,PUJA,Nortech Power Projects Pvt. Ltd.,423,304,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,,,,,,Tariff Collection: NO,,34,,
277,15461,30213112,DIGBOI,DIGBOI,BORBIL,NEW,NON TEA GARDEN,BORBIL GAON 1 PWSS,PUJA,Dulal Chandra Roy,494,255,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,PHE Contractor - Under DLP,,,,,,,,Centrifugal Pump Malfunction:Leakage in Distribution Line,Tariff Collection: NO,,59,,
278,15466,30184956,DIGBOI,DIGBOI,BORBIL,NEW,NON TEA GARDEN,BORBIL NO 3 PWSS,PUJA,Dulal Chandra Roy,758,383,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,PHE Contractor - Under DLP,,,,,,,,Voltage or Load Issues,Tariff Collection: NO,,100,,
280,15469,30205241,DIGBOI,DIGBOI,BORBIL,NEW,NON TEA GARDEN,BORJAN FOREST VILLAGE PWSS,PUJA,Udeepta Phukan,180,180,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,84539,DUSHYANTA BORAH,Not Started,,,Tariff Collection: NO,,100,,
281,17477,30216927,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,Dhekiajan No 2 PWSS,PUJA,Udeepta Phukan,121,121,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,31,,
282,17485,30213114,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,GOLAI GAON NO.2 PWSS,PUJA,HANUMAN DISTRIBUTORS,409,308,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,27,,
283,17487,30193040,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,GOLAI NO.4 PWSS,PUJA,HIren Dihingia,69,69,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,NO,YES,131918,RAJU BORAH,Ongoing,,Submersible Pump Malfunction,Tariff Collection: NO,,100,,
284,12173,30015857,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,GOLAI NO.5 PWSS,PUJA,Green Moon Engineering,256,256,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,203431,TRIDIP KAKOTI,Ongoing,,,Tariff Collection: NO,,70,,
285,17906,30196111,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,HOLLONG HABI TE LABOUR LINE 1 PWSS,PUJA,Anil Phukan,80,80,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,0,,
286,17907,30196127,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,HOLLONG HABI TE LABOUR LINE 2 PWSS,PUJA,Anil Phukan,109,109,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,NO,,,,,,Tariff Collection: NO,,27,,
287,17908,30196144,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,HOLLONG HABI TE.126 AP. PWSS,PUJA,Nortech Power Projects Pvt. Ltd.,120,54,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,100,,
288,22480,30218758,DIGBOI,DIGBOI,BORBIL,NEW,NON TEA GARDEN,KENDUGURI PWSS,PUJA,Nayan Jyoti Gogoi,73,69,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,68120,DUSHYANTA BORAH,Not Started,,,Tariff Collection: NO,,49,,
289,17481,30192839,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,KOLAMATI SIDE AREA PWSS,PUJA,Ram-Man Business Enterprise,632,260,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,45,,
296,17910,30201836,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,MAMORANI FOREST VILLAGE PWSS,PUJA,Kajal Hore,102,62,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,110084,MIRAJ MORAN,Ongoing,,,Tariff Collection: NO,,71,,
301,17912,30146065,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,OBHATAJAN GAON PWSS,PUJA,Sri Jitu Hazarika,220,155,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: NO,,29,,
302,11412,30005113,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,OBHATAJAN TE 293 NLR PWSS,PUJA,PAWAN COMMUNICATION,219,219,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,PHE Contractor - Under DLP,,,,,,,,Leakage in Distribution Line:Valve Leakage/Damage:Pipeline damage (other third parties),Tariff Collection: NO,,36,,
303,17495,30196435,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,PAHARPUR CHRISTIAN KONWOR CHUK PWSS,PUJA,HIren Dihingia,110,103,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,NO,,,,,,Pipeline Damage due to PWD road construction or Augmentation,Tariff Collection: NO,,33,,
304,22500,30218295,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,Panbari PT 1 PWSS,PUJA,Shiva Gogoi,66,66,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: NO,,100,,
305,15458,30217164,DIGBOI,DIGBOI,BORBIL,NEW,NON TEA GARDEN,SHILLONG BASTI PWSS,PUJA,HANUMAN DISTRIBUTORS,239,214,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
306,17913,30183994,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,TINGRAI F.V. PWSS,PUJA,Nayan Jyoti Gogoi,331,230,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,34,,
307,11415,30217283,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,UPPER MAMORANI GAON. PWSS,PUJA,M/s B.K. Hazarika,282,165,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,40,,
359,17992,30190352,DIGBOI,DIGBOI,TONGONA,NEW,NON TEA GARDEN,CHARIALI CHUCK PWSS,PARISHMITA,M/s Shri Ohm Construction,93,53,DIGBOI,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,37,,
360,17995,30014735,DIGBOI,DIGBOI,TONGONA,NEW,NON TEA GARDEN,CHENGA PATHER PWSS,PARISHMITA,M/S POWER TOOLS & ENGINEERING,296,162,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,122352,Punya Moran,,,,Tariff Collection: NO,,100,,
375,18001,30193141,DIGBOI,DIGBOI,TONGONA,NEW,NON TEA GARDEN,GUTI BARI. PWSS,PARISHMITA,M/s Sujata Enterprises,296,300,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,88394,Rebo Moran ,Not Started,,,Tariff Collection: NO,,40,,
378,19489,30020450,DIGBOI,DIGBOI,TONGONA,NEW,NON TEA GARDEN,JENGONI PWSS,PARISHMITA,M/S Hab Enterprise,222,166,DIGBOI,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,28,,
381,12158,30212724,DIGBOI,DIGBOI,TONGONA,NEW,NON TEA GARDEN,KACHIJAN NO 1 PWSS,PARISHMITA,SRI JAYANTA KHAUND,235,140,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,176625,Punya Moran,Not Started,,,Tariff Collection: NO,,34,,
393,18011,30193373,DIGBOI,DIGBOI,TONGONA,NEW,NON TEA GARDEN,KULI BILL GAON PWSS,PARISHMITA,M/s Shri Ohm Construction,590,459,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,0,,
421,18021,30185032,DIGBOI,DIGBOI,TONGONA,NEW,TEA GARDEN SCHEME,TONGONA TE.114-WL. PWSS,PARISHMITA,Raj Sekhar Hazarika,503,539,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,29,,
422,18023,30185053,DIGBOI,DIGBOI,TONGONA,NEW,TEA GARDEN SCHEME,TONGONA TE.22-WL. PWSS,PARISHMITA,M/S Itas G Pharma,592,481,DIGBOI,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,0,,
423,18025,30185096,DIGBOI,DIGBOI,TONGONA,NEW,TEA GARDEN SCHEME,TONGONA TE.DARKAST NO.3 PWSS,PARISHMITA,M/S Itas G Pharma,140,84,DIGBOI,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,77,,
424,18027,30019448,DIGBOI,DIGBOI,TONGONA,NEW,TEA GARDEN SCHEME,TONGONA TE.GRANT NO.108(118) PWSS,PARISHMITA,M/S Manash Enterprise,265,242,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,,,,,,,,,,Tariff Collection: NO,,60,,
469,17733,30204681,DIGBOI,DIGBOI,BORHAPJAN,NEW,NON TEA GARDEN,ASSOMIYA BALIJAN GAON PWSS,RANJITA,M/S Tirupati & Associates,197,197,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,71,,
496,22511,30218140,DIGBOI,DIGBOI,BORHAPJAN,NEW,NON TEA GARDEN,GUPONARI HABI PWSS,RANJITA,Nortech Power Projects Pvt. Ltd.,371,293,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,66,,
507,10913,30012971,DIGBOI,DIGBOI,BORHAPJAN,NEW,NON TEA GARDEN,KECHERUGURI GAON PWSS,RANJITA,Dulal Chandra Roy,273,273,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,,,,,,,,Tariff Collection: NO,,80,,
518,22501,30218275,DIGBOI,DIGBOI,BORHAPJAN,NEW,NON TEA GARDEN,Nahar Chapori PWSS,RANJITA,Dulal Chandra Roy,253,291,TINSUKIA,HANDED_OVER,NON_OPERATIVE,Non Operative,PWD,YES,,,1970713,,,,Pipeline Damage due to PWD road construction or Augmentation,Tariff Collection: NO,,100,,
519,22509,30218283,DIGBOI,DIGBOI,BORHAPJAN,NEW,NON TEA GARDEN,Nahorani Gaon PWSS,RANJITA,Nortech Power Projects Pvt. Ltd.,256,205,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,PWD,YES,,,665047,,,,Centrifugal Pump Malfunction,Tariff Collection: NO,,100,,
522,22507,30222142,DIGBOI,DIGBOI,BORHAPJAN,NEW,NON TEA GARDEN,PABOJAN 1 PWSS,RANJITA,Nortech Power Projects Pvt. Ltd.,290,251,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,82,,
523,22488,30222145,DIGBOI,DIGBOI,BORHAPJAN,NEW,NON TEA GARDEN,PAVAJAN PWSS,RANJITA,Kalyan Chetia,111,125,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,88,,
538,16925,30216347,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,2 No Ambikapur PWSS,JURI,HAREN MAHANTA,230,87,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
543,16916,30181712,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,AMBIKAPUR PWSS,JURI,HAREN MAHANTA,216,281,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,0,,
546,12163,30076425,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,BRAHMAJAN PWSS,JURI,Sulekha Devi,215,77,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,45,,
550,16951,30191265,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,DIBRUJAN NO 5 PWSS,JURI,HAREN MAHANTA,174,155,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,24,,
551,12168,30212774,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,DIBRUJAN NO.2 PWSS,JURI,Sulekha Devi,212,190,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,44,,
552,12165,30115082,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,DIBRUJAN NO.3 PWSS,JURI,Sulekha Devi,238,212,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,41,,
582,12801,30015334,DIGBOI,DIGBOI,PAWOI,NEW,TEA GARDEN SCHEME,NAGAPARA DIVISION PWSS,RUKSANA,ARUPJYOTI GOGOI,375,340,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,NO,NO,,,,,,Tariff Collection: NO,,0,,
592,17017,30196511,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,PENGERIGARH GRANT NO.8-313 PWSS,JURI,HAREN MAHANTA,310,112,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,20,,
593,16959,30196519,DIGBOI,DIGBOI,BRAHMAJAN,NEW,TEA GARDEN SCHEME,Pengerigarh TE PWSS,JURI,HAREN MAHANTA,1083,1029,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,72,,
594,22505,30218777,DIGBOI,DIGBOI,PAWOI,NEW,TEA GARDEN SCHEME,PENSON BASTI PT 1 PWSS,RUKSANA,HIren Dihingia,67,50,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,100,,
595,12798,30007066,DIGBOI,DIGBOI,PAWOI,NEW,NON TEA GARDEN,PENSON BASTI PWSS,RUKSANA,HIren Dihingia,256,234,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,Estimated Submitted to P&RD - Work Ongoing,100,,
597,17100,30196645,DIGBOI,DIGBOI,BRAHMAJAN,NEW,NON TEA GARDEN,POPULAJAN PWSS,JURI,HAREN MAHANTA,233,233,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,64,,
598,17571,30082001,DIGBOI,DIGBOI,PAWOI,NEW,TEA GARDEN SCHEME,POWAI BAZAR PWSS,RUKSANA,SARDA UDYOG,556,557,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,PWD,YES,,,,,,,Pipeline Damage due to PWD road construction or Augmentation,Tariff Collection: NO,,72,,
599,17572,30020398,DIGBOI,DIGBOI,PAWOI,NEW,TEA GARDEN SCHEME,POWAI CENTRE PWSS,RUKSANA,Ram-Man Business Enterprise,485,532,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,477347,Nirmal Kalondi ,Ongoing,,Theft of valve from interconnection system,Tariff Collection: NO,,60,,
601,17573,30063064,DIGBOI,DIGBOI,PAWOI,NEW,TEA GARDEN SCHEME,POWAI T.E. PWSS,RUKSANA,Ram-Man Business Enterprise,485,418,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,,Tariff Collection: NO,Estimated Submitted to P&RD - Work Ongoing,100,,
603,12809,30036890,DIGBOI,DIGBOI,PAWOI,NEW,TEA GARDEN SCHEME,STATION PARA PWSS,RUKSANA,M/S Roni Enterprise,234,78,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
616,11859,30215955,DIGBOI,DIGBOI,DUARMARA,NEW,TEA GARDEN SCHEME,BAGAN CHUCK. PWSS,PUBALI,SRI JAYANTA KHAUND,321,251,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,164530,NOMITA CHUTIA,Ongoing,LOW VOLTAGE ISSUE,,Tariff Collection: YES,,100,,
617,17500,30181867,DIGBOI,DIGBOI,DUARMARA,NEW,NON TEA GARDEN,BALIJAN PWSS (NAMANI CHUK),PUBALI,M/S Haji Enterprises,155,81,DIGBOI,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
619,16306,30183323,DIGBOI,DIGBOI,DUARMARA,NEW,NON TEA GARDEN,BEBEJIA PWSS,PUBALI,PANKAJ DAS,215,214,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,LOW VOLTAGE ISSUE,,Tariff Collection: NO,,100,,
